cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence
serum drug levels,quality_outcome,efficacy,quality_outcome,correlates,3,3,high,Serum levels of IFX and anti-IFX Ab measured by RIA strongly associated with clinical response types to IFX maintenance 
hydrophobic interaction,structure,increased viscosity,stability,increases,3,2,high,hydrophobic interactions ... are the two major physical factors that contribute collectively to the high viscosity of co
formulation,formulation,physical stability,stability,stabilizes,3,3,high,evaluate the effect of solution and stress conditions on the physical stability of an immunoglobulin G (IgG) 1 monoclona
agitation,stress,particle size,stability,modifies,3,2,high,SEM photographs revealed that prepared MNPs have different diameters depending on the used stirring rate.
temperature,stress,binding activity,quality_outcome,correlates,3,2,high,IgM ... and Fab and F(ab')2 fragments ... bind to sp GlcNAc-BSA to comparable extents at different temperatures
arginine,formulation,self-association,structure,modifies,3,3,high,"PPI are tuned for two mAbs via the addition of arginine (Arg), NaCl, or ZnSO"
net charge,sequence,colloidal stability,stability,correlates,3,3,high,The net charge partly correlated with colloidal stability.
heat stress,stress,degradation,stability,degrades,3,3,high,"IgG degradation was obtained by freeze-thawing cycles, pH-shift cycles, heating, shaking and metal-catalyzed oxidation."
particle formation,structure,particle formation,quality_outcome,inhibits,3,3,high,counting and characterizing particles within the entire subvisible size range remains a significant challenge due to the
buffer composition,formulation,viscosity,stability,decreases,3,3,high,a translucent dispersion of approximately 430 nm protein clusters with low apparent viscosity (24 cp) formed ... in buff
polysorbate degradation,formulation,stability,stability,destabilizes,3,3,high,higher levels of PS80 degradants at a constant PS80 concentration may destabilize the IgG
net charge,sequence,net charge,sequence,correlates,3,2,low,"In no case is the calculated charge, based solely on H binding, remotely close to the measured charge"
excipients,formulation,electrostatic repulsion,structure,stabilizes,3,3,high,"the nonionic excipients including sugars, amino acids, and polysorbate surfactants lead to increased repulsive PPI with "
glycoengineering,formulation,efficacy,quality_outcome,modifies,3,3,high,enabling the optimization of therapeutic efficacy and gain of new functions of monoclonal antibodies and IVIG
adsorption,formulation,immunogenicity,quality_outcome,binds,3,2,high,"When specific binding was detected, the anti-Id antibodies were isolated by adsorption and elution on Affi-Gel Ab1."
controlled nucleation,stress,reconstitution time,quality_outcome,decreases,3,3,high,Reduction in ... reconstitution time was achieved with controlled ice nucleation.
light exposure,stress,instability,stability,induces,3,3,high,light exposure had the most destructive effects on physicochemical and biological characteristics of cetuximab.
n-glycosylation,sequence,thermal stability,stability,modifies,3,2,high,core fucosylation ... impact ... thermal stability and propensity for protein aggregation
treatment-emergent adas (ada-positive),quality_outcome,immunogenicity,quality_outcome,correlates,3,2,high,No relationship between ADAs and safety was observed.
critical quality attributes,quality_outcome,efficacy,quality_outcome,modifies,3,3,high,"CQAs that could affect efficacy, potency, and safety"
light exposure,stress,oxidative stress,stability,induces,3,3,high,Reactive oxygen species are generated in solutions in the presence of light
ph,formulation,equilibrium constant,structure,modifies,3,3,high,The pH dependence of the equilibrium constant is based on a thermodynamic approach.
sodium chloride,formulation,aggregation rate,stability,decreases,3,3,high,Increasing NaCl concentration ... decreased aggregation rates
nk cell activation,quality_outcome,biological activity,quality_outcome,induces,3,3,high,binding to NK cell CS1 which promotes cytotoxicity against CS1(+) MM cells
storage temperature,stress,charge variants,quality_outcome,prevents,3,3,high,No additional peak or decrease in the areas under curve was found by cation exchange chromatography
antibody-drug conjugate (ADC),formulation,efficacy,quality_outcome,induces,3,3,high,"antibody-drug conjugates, such as gemtuzumab ozogamicin ... have produced complete remissions"
oxidation,stability,higher-order structure,structure,modifies,3,3,medium,"To deepen characterize PTMs carried by the backbone structure... disclose additional PTMs as K-clip, oxidations or deami"
excipients,formulation,physical stability,stability,stabilizes,3,1,high,the number of degrees of freedom to control a given protein's stability is limited to ... type and concentration of exci
neonatal Fc receptor (FcRn),structure,half-life,stability,stabilizes,3,3,high,"long catabolic half life of ~21 days, mediated through the structurally distinct neonatal Fc receptor (FcRn)"
charge variants,quality_outcome,conformational stability,stability,correlates,3,3,high,"all four charge variants of MAb1 were not significantly different in conformation, solution dynamics and chemical denatu"
concentration,formulation,aggregate amount,stability,modifies,3,2,high,The influence of ... mAb concentration on the removal of aggregates ... was also investigated
stress conditions,stress,hmw species,stability,induces,3,3,high,stressed by exposure to low pH and elevated temperature followed by stirring to obtain aggregates
low ph,formulation,deamidation,stability,deamidates,3,3,high,"upon all stress conditions, new deamidation or oxidation or both of amino acids occurred"
aggregation,stability,half-life,quality_outcome,decreases,3,3,high,after entry into the systemic circulation disappeared faster than monomers
oligomerization,stability,immunogenicity,quality_outcome,increases,3,3,high,"Non-native oligomeric forms of biopharmaceutical proteins are therapeutically inactive, and potentially toxic and immuno"
ionic strength,formulation,particle formation,quality_outcome,increases,3,3,high,Low conductivity ... reduced the level of particle formation in small-scale stirring studies
oxidation,formulation,degradation,stability,degrades,3,3,high,"""Metal-catalyzed oxidation (MCO) of proteins ... represents a prominent degradation pathway"""
temperature,stress,aggregation,stability,modifies,3,3,medium,"the unfolding patterns, aggregation behavior, and pretransition dynamics ... were strikingly different in response to .."
sucrose,formulation,conformational stability,stability,stabilizes,3,3,high,Sucrose ... identified as stabilizers ... on the basis of their influence on conformational stability for both the IgG1 
proteinaceous particles,stability,particle formation,structure,correlates,3,3,high,"buoyant particles (e.g., silicone oil) and dense particles (e.g., protein particles)"
oligomerization,stability,potency,quality_outcome,decreases,3,3,high,These dimers showed reduced potency and antigen binding affinity.
thermal stress,stress,oxidation,stability,induces,3,3,high,the high temperature formed during dropping was probably the root cause for ... free radical formation
disulfide bond,stability,potency,quality_outcome,degrades,3,3,high,pose a direct risk to ... potency
optimized redox system on Protein A resin,formulation,disulfide bond,structure,stabilizes,3,2,high,"Under the optimal redox condition, >90% reduced antibody could be reoxidized to form an intact antibody on Protein A res"
hydrogen peroxide,stress,oxidation,stability,induces,3,3,high,"iron, hydrogen peroxide, and polysorbate 20 at pharmaceutically relevant levels critically influence the extent of mAb c"
ph,stress,denaturation,structure,destabilizes,3,2,medium,three elution methods that gave fairly good yields of antigen activity (pH 2.3-2.5) were selected ... due to partial den
methionine oxidation,sequence,higher-order structure,structure,modifies,3,3,high,Met oxidation in the variable region and CH3 domain had no detectable impact on mAb conformation
